Price,Close,High,Low,Open,Volume,Daily_Return,Volatility_20D,20MA,50MA,200MA
Ticker,TLT,TLT,TLT,TLT,TLT,,,,,
Date,,,,,,,,,,
2020-01-02,113.30084991455078,113.73086909848763,113.01968886356687,113.11891920666612,11034100,,,,,
2020-01-03,115.04573059082031,115.0788157866366,114.02031665000621,114.34282790853726,12366000,0.01540042001084263,,,,
2020-01-06,114.39239501953125,115.53359404789799,114.24353693751397,115.51705145694058,11369800,-0.005678920616470018,,,,
2020-01-07,113.83003234863281,114.50813960893629,113.82176736434738,114.30140143713108,8381200,-0.004916084419793965,,,,
2020-01-08,113.07755279541016,114.37586238686235,112.73023406486307,114.06161622280986,10621700,-0.006610553802866348,,,,
2020-01-09,113.4745101928711,113.6564408920333,112.391203604962,112.46562635871832,7411500,0.0035104880468994626,,,,
2020-01-10,114.48341369628906,114.50822128513667,113.8135835607925,113.84665613982077,8776000,0.008891014393480612,,,,
2020-01-13,114.13604736328125,114.19392750708393,113.61506297755527,114.02027445737552,5966900,-0.0030342066312709637,,,,
2020-01-14,114.72317504882812,114.79761040153,114.2352758544612,114.26834841920633,13920300,0.005144103892770424,,,,
2020-01-15,115.48397064208984,115.57493596834593,114.96299888107801,115.37647534255102,6290500,0.0066315772112994775,,,,
2020-01-16,115.12016296386719,115.38478143195711,114.73149394216553,115.16150053009973,6798600,-0.003150287232071114,,,,
2020-01-17,114.13604736328125,114.23527767740035,113.5902553990255,113.7721860537774,9693100,-0.008548594574999235,,,,
2020-01-21,115.33515930175781,115.4840048151491,114.75629460806286,114.78936718271515,6794900,0.010505987951903828,,,,
2020-01-22,115.74038696289062,115.88923249694378,115.43440566793855,115.54191363251407,6317000,0.003513479008361964,,,,
2020-01-23,116.55081176757812,116.9146732748669,116.41849619796271,116.47638899153466,9747400,0.007002091715377912,,,,
2020-01-24,117.49348449707031,117.88215341899185,116.84846216245614,116.94769248522711,8585000,0.00808808377389969,,,,
2020-01-27,119.3210678100586,119.3210678100586,118.66778035527842,119.039906759561,10935200,0.015554763064617783,,,,
2020-01-28,118.3865737915039,119.15563389013867,118.1054128490976,119.0233184049007,10612900,-0.007831760440178637,,,,
2020-01-29,119.54434967041016,119.66012261086689,118.60988853924243,118.61816614675628,9566800,0.009779621470803468,,,,
2020-01-30,119.56090545654297,120.46228149369922,119.32108194165943,119.82552394179095,14711800,0.00013849074572291897,,115.65683135986328,,
2020-01-31,120.65247344970703,120.72690883170071,119.98264333989977,120.04880111372465,14538100,0.00912980701338717,0.007640073589172236,116.0244125366211,,
2020-02-03,120.55471801757812,120.7369509868572,119.37849507722026,120.06600807236072,15309000,-0.0008102231917330727,0.007116908222951071,116.29986190795898,,
2020-02-04,118.93113708496094,119.39499796780676,118.50040370549222,119.27075403106632,11388300,-0.013467585170581664,0.007763942006887438,116.52679901123047,,
2020-02-05,117.6307144165039,118.20226207703031,117.53959793961903,117.87093632795825,10782600,-0.010934249014436404,0.00815204213689429,116.71683311462402,,
2020-02-06,118.1608657836914,118.3513901331282,117.62245817872198,117.77155100252168,6683100,0.004506912755033898,0.007933430852768908,116.97099876403809,,
2020-02-07,119.63526916503906,119.89206116623691,119.17140804164677,119.46132756340079,11374800,0.012477933125902618,0.008256383199462288,117.27903671264649,,
2020-02-10,119.96659851074219,120.314494327024,119.84234187968437,120.19025033523289,6699300,0.0027694955510657593,0.008126432131792058,117.55319595336914,,
2020-02-11,119.36193084716797,119.87548956450873,119.22939548809052,119.76780300534985,7784100,-0.005040300142544085,0.008208654262011913,117.81449012756347,,
2020-02-12,118.75721740722656,118.90632281385867,118.44246179636282,118.75721740722656,5595500,-0.005066216972609894,0.00833718922867955,118.0161922454834,,
2020-02-13,119.21284484863281,119.44477544520592,118.67443724357442,118.8152513458317,7883400,0.0038366294811698065,0.008274466120443616,118.20263595581055,,
2020-02-14,119.73465728759766,120.17366953846032,119.6518195409473,119.90859886059161,7137400,0.0043771494558946245,0.008216931851901,118.43336067199706,,
2020-02-18,120.55471801757812,120.97717291875608,120.04115927102886,120.38905512894303,6909200,0.006848983816028387,0.007891552442601956,118.75429420471191,,
2020-02-19,120.54644775390625,120.62099416313166,120.09086529874688,120.20683059285389,5707700,-6.860174207923286e-05,0.007697758883667084,119.01485862731934,,
2020-02-20,121.49078369140625,121.71443563843582,120.93580582522252,121.00207353690807,9332900,0.007833793156873936,0.007795369462801726,119.30237846374511,,
2020-02-21,122.62553405761719,123.32133840326009,122.302487005424,122.42674364966325,13860300,0.009340217683452279,0.007884157836852888,119.60611457824707,,
2020-02-24,124.45606994628906,125.04418738551296,124.24898829912387,124.93650088442364,15929300,0.014927852528754615,0.008274641182743488,119.95424385070801,,
2020-02-25,125.1187515258789,125.70685640941855,124.36497118965416,124.42296012594643,20802900,0.005324622413963587,0.007751864644740738,120.24412803649902,,
2020-02-26,124.45606994628906,125.67371104276134,123.9010926485976,124.20756944183869,22589500,-0.005296420972141669,0.007594814301125904,120.54760284423828,,
2020-02-27,125.80634307861328,126.80033322155757,124.93659696381063,126.48556483123822,30687900,0.010849395557058328,0.0076521071911558325,120.86070251464844,,
2020-02-28,128.64749145507812,129.20246914530566,127.69492026006829,127.93512957940541,44935200,0.022583506577959156,0.0088298421917669,121.31503181457519,,
2020-03-02,127.70100402832031,129.82465125034048,127.55167835849358,128.8291931972605,28152400,-0.007357216344077044,0.009063363441386472,121.66745834350586,,
2020-03-03,129.68350219726562,132.47908055116892,126.39018897524834,127.59303347227974,38608000,0.015524530789950974,0.009441268600127091,122.12389755249023,,
2020-03-04,128.3065185546875,130.52971951062244,127.90833803195683,129.74994035424072,23463700,-0.010618032511826803,0.00918664936663075,122.59266662597656,,
2020-03-05,131.50025939941406,131.74912691180046,130.08172343936084,130.347185494687,17786200,0.024891493282668264,0.009635835395507055,123.28614387512206,,
2020-03-06,138.34405517578125,140.46770112183128,136.13744916768027,138.78371565720903,76288300,0.05204397168206398,0.01414944042104962,124.29530334472656,,
2020-03-09,142.09365844726562,149.070179170854,141.3055882319555,148.5724566096788,41552800,0.027103465101699475,0.014757432507440259,125.4182228088379,,
2020-03-10,134.81016540527344,143.45407485183412,134.4119849510821,140.7248609322118,37728300,-0.051258396198555656,0.019942165565277052,126.16040115356445,,
2020-03-11,129.84947204589844,138.55974782124244,129.10288204261224,137.23246263992294,29519300,-0.036797620894996275,0.022026192019975667,126.68477821350098,,
2020-03-12,130.65411376953125,138.00392664408992,129.1277449386342,135.63970428413697,24361800,0.00619672695587381,0.021913746602931057,127.27962303161621,,
2020-03-13,127.70100402832031,131.23488454703175,126.24929067568073,128.58032551950654,19812900,-0.022602501031235067,0.02276930419310673,127.70403099060059,121.20162033081054,
2020-03-16,135.9716033935547,137.82978811046638,130.91134110282042,133.04329161712562,30496700,0.06476534329675432,0.026554302262957147,128.51587829589843,121.65503540039063,
2020-03-17,126.90453338623047,137.39834665604303,126.68056403888873,135.63140141278956,18570900,-0.06668355583835095,0.03121570927338414,128.83336906433107,121.89221145629882,
2020-03-18,119.74560546875,127.86689832648837,115.31579670659448,126.78848027341029,47061000,-0.05641191631580622,0.033934595888432235,128.79332695007324,121.9992756652832,
2020-03-19,123.00568389892578,127.2944562604218,120.49214818858991,121.9023807821028,21175300,0.02722503608724547,0.03443694411441627,128.86907196044922,122.18278869628907,
2020-03-20,132.2551727294922,132.2551727294922,126.18287228750027,127.17003897925794,20863100,0.07519562135166646,0.03820033375760402,129.35055389404297,122.56634109497071,
2020-03-23,137.70529174804688,138.27768323901503,129.88264179262276,130.65411717058663,19971800,0.041209117995725464,0.03902183208407566,130.01301498413085,123.05095672607422,
2020-03-24,135.14193725585938,137.2489878088556,133.06806311955776,133.76488179145355,11948600,-0.018614785674885725,0.03940230764781979,130.5141742706299,123.46412719726563,
