Price,Close,High,Low,Open,Volume,Daily_Return,Volatility_20D,20MA,50MA,200MA
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,,,,,
Date,,,,,,,,,,
2020-03-04,210.3028106689453,210.4088203720102,203.70132808893285,205.58059234373718,73086200,0.04172239375057485,0.024094551242148203,216.83827438354493,,
2020-03-05,203.91329956054688,208.51024330528872,202.4773676627117,204.9733963419959,78705500,-0.03038243325457346,0.02488375224837372,216.0369400024414,,
2020-03-06,200.47288513183594,201.5618778990907,195.5482791115377,197.24441971991618,89828400,-0.0168719472252441,0.02488378613700567,214.96865539550782,,
2020-03-09,186.54714965820312,193.86177552572278,185.14011302727727,186.46040374632923,116424000,-0.06946443387830181,0.0287817659415368,213.25179138183594,,
2020-03-10,196.70472717285156,196.8878361743078,186.65312823578174,193.81356956296509,100599200,0.05445045680547489,0.03174534555515243,211.90933151245116,,
2020-03-11,188.1372528076172,193.46661850713986,185.73758684085925,192.11741758517988,89168800,-0.04355499986386102,0.032793835906281155,210.13656921386718,,
2020-03-12,170.88670349121094,183.85835628712198,170.52048547264488,175.48363369968575,137820700,-0.09169130014907834,0.03741058849095308,207.3923797607422,,
2020-03-13,185.36170959472656,187.4240676739066,171.66727079057625,180.28292103426736,134882000,0.0847052802107573,0.043320952180488405,205.38639602661132,211.10038482666016,
2020-03-16,163.1576385498047,177.9796275795923,163.02271847064515,167.83166713190602,92054400,-0.11978779810279416,0.049775221569486126,202.2379234313965,210.1971862792969,
2020-03-17,175.5318145751953,177.70018277612678,163.62024466987097,169.1038092730566,121257100,0.07584184311182796,0.05370629457345952,199.70382232666014,209.5796353149414,
2020-03-18,170.19281005859375,172.7177495598561,160.7483593206713,165.38384614161853,114156300,-0.030416164326236172,0.053635698217962324,196.7943542480469,208.82870483398438,
2020-03-19,171.21434020996094,176.8328243726953,165.40311516671628,169.31581239130233,120896500,0.0060021933418661355,0.05380331623149409,194.04197158813477,208.09878387451172,
2020-03-20,164.50686645507812,176.23532749391617,163.92864375131538,175.14633478449502,118983900,-0.03917588764269053,0.05411963187106534,191.17153244018556,207.20348846435547,
2020-03-23,164.6256866455078,168.24733571628911,159.2849479248567,165.0699340124014,124639800,0.0007222810390234979,0.05387250895836154,188.73492507934571,206.27510498046874,
2020-03-24,177.3738555908203,177.53803521658511,171.8592858091959,173.75220719050068,94881800,0.07743730158443274,0.05724176710319469,187.22580795288087,205.6124789428711,
2020-03-25,176.06040954589844,183.02362417647132,173.81980925619098,178.10784345878415,88754900,-0.0074049585298062715,0.05717889256497167,185.59753189086913,204.87501159667968,
2020-03-26,185.3318328857422,186.12377381961826,177.32558119634263,177.57667687130197,79887600,0.05266046673273661,0.057706609715362164,184.95516357421874,204.3397412109375,
2020-03-27,178.95773315429688,183.98940204365792,178.33963904687462,180.53193306458388,58845000,-0.03439290289313102,0.05815980475668429,183.98637847900392,203.67525512695312,
2020-03-30,185.467041015625,185.90165065620462,179.96213784572416,180.6574955868197,49356900,0.03637343716080621,0.05749621857179763,182.8313232421875,203.1002862548828,
2020-03-31,183.8831787109375,188.56718379324212,182.72425402417431,185.15800618194586,62659300,-0.008539858597054306,0.0571369989133317,181.9314872741699,202.47243713378907,
2020-04-01,176.07003784179688,181.23692824668043,174.66967022089645,178.44584542778767,53715400,-0.042489698752830485,0.056762652517092595,180.2198486328125,201.69025390625,
2020-04-02,179.64341735839844,183.59343984085174,174.7759282765093,175.03669109377,56465300,0.02029521638322329,0.056809078189383376,179.00635452270507,200.9681655883789,
2020-04-03,177.09378051757812,180.66715220952585,175.08497102009434,179.19917320434047,47487600,-0.014192765191800238,0.056782179380692785,177.8373992919922,200.18120727539062,
2020-04-06,189.7550506591797,190.88500315636537,182.714572873169,183.96041339985334,64763500,0.07149471937748153,0.05705879293314343,177.997794342041,199.68390228271485,
2020-04-07,189.6778106689453,195.7235590600364,189.2915073648521,195.44347663852133,69904500,-0.0004070510374615255,0.0557288649017992,177.6464485168457,199.27371459960938,
2020-04-08,193.70509338378906,194.2845483290108,189.4556834361989,191.36790980752508,45940400,0.021232229013190995,0.054961501849493465,177.9248405456543,198.87950408935546,
2020-04-09,193.9851531982422,196.26437792469775,192.21778695074894,195.42416018310405,68252600,0.0014458051131274186,0.05026925331658297,179.07976303100585,198.48395538330078,
2020-04-13,196.08090209960938,196.45755300144822,191.94739460477834,193.1546109230474,42853900,0.010803656191282984,0.046904448550971596,179.61572265625,198.11509490966796,
2020-04-14,204.608642578125,205.22673663075193,199.3548357625338,200.1371094360824,63959600,0.043490928423939534,0.03751801104781025,181.68827285766602,197.98482818603514,
2020-04-15,202.26185607910156,204.5797203933306,200.03092254484568,201.344374568617,47036000,-0.01146963524831246,0.034675273488157486,183.02477493286133,197.74382751464844,
2020-04-16,205.9511260986328,207.03278732071834,202.51297601140766,204.4445223288626,64657400,0.018240068053604785,0.03355088748487084,184.81269073486328,197.478505859375,
2020-04-17,207.92127990722656,209.09952424373802,204.82115657291044,208.77116493330766,62863200,0.009566123021100825,0.03353740421782454,186.64803771972657,197.23813171386718,
2020-04-20,205.45852661132812,208.49105284757647,205.29434699105803,206.0573010777867,38249100,-0.011844642823463314,0.03193448289526167,188.69562072753905,196.91053070068358,
2020-04-21,197.87721252441406,203.9326128448136,196.66034395322228,203.39178236872834,72932800,-0.036899486295138506,0.03367285211025831,190.3581970214844,196.45038635253906,
2020-04-22,203.7490692138672,205.08184026547036,201.1994298563581,201.94307896711717,40089100,0.02967424401497798,0.030128324801150474,191.6769577026367,196.05428924560547,
2020-04-23,203.3145294189453,207.1003576864137,202.90890654063006,204.541050478425,43278500,-0.002132720392777676,0.03001498858264526,193.03966369628907,195.64872985839844,
2020-04-24,206.52088928222656,206.9651513344646,202.3294381106388,203.7491255617453,34231900,0.01577044135726413,0.02818053462763564,194.09911651611327,195.26373779296875,
2020-04-27,208.18202209472656,209.21540626124602,207.15830508942489,208.79046379039787,36451700,0.008043413033293367,0.026545048780833067,195.56033096313476,194.9177505493164,
2020-04-28,204.26101684570312,209.8818235317285,203.98094912228035,209.8818235317285,46862800,-0.01883450458195335,0.026300152816695642,196.50002975463866,194.48042907714844,
2020-04-29,211.5042724609375,212.44107338546277,207.77638834773578,208.79045287533302,48716400,0.035460783105304206,0.026926514728931185,197.88108444213867,194.18623779296874,
2020-04-30,211.41737365722656,212.5086871402764,209.91077011589803,212.4217711059367,43359500,-0.00041086074857887844,0.02434658822636635,199.64845123291016,193.8469418334961,
2020-05-01,205.45852661132812,209.25400693430515,204.43479498575198,207.1582815651756,48795000,-0.02818522878616203,0.02559319926992616,200.93920669555663,193.4308724975586,
2020-05-04,207.85366821289062,208.0757918787727,203.8939929806753,204.22236700355398,32841000,0.011657542965318068,0.025112574888481835,202.47720108032226,193.14963287353515,
2020-05-05,210.21011352539062,212.6052259698329,209.42783990652399,209.99764232810293,37783100,0.011337039816331052,0.020288805028824557,203.4999542236328,193.08667846679688,
2020-05-06,211.5042724609375,213.47444276143392,210.64473513948423,211.89057573977195,36455200,0.00615650176788729,0.020244209723346944,204.5912773132324,193.1656399536133,
2020-05-07,214.22775268554688,215.10659482861956,212.8756617777369,214.22775268554688,38624800,0.012876714937814615,0.019990453391564113,205.6174102783203,193.27767639160157,
2020-05-08,217.1636962890625,217.29890390647665,214.8651520564971,215.8985361397177,31852300,0.0137047771201948,0.020055914865207945,206.77633743286134,193.65736633300781,
2020-05-11,219.10488891601562,220.12860581258877,215.60879580058102,215.84058659729604,35714100,0.008938845028541254,0.020035999232620273,207.92753677368165,194.07279541015626,
2020-05-12,214.5175018310547,220.29283519099184,214.48852981892514,219.7037130501463,41054100,-0.020936945349125935,0.018790473611894325,208.42297973632813,194.19178253173828,
2020-05-13,211.83262634277344,216.92225369989848,209.29265361270694,215.03899947448033,65521200,-0.012515880827270398,0.018832924488557293,208.90151824951172,194.39083709716797,
2020-05-14,214.23739624023438,214.27602067073278,208.59728624990464,210.50951239485062,51549300,0.011352216790107228,0.018591044570750306,209.3158317565918,194.46952880859374,
2020-05-15,215.6281280517578,215.68607207020938,210.85720737890446,211.2918022538168,55747200,0.006491545528138909,0.018539035873245655,209.70117416381837,194.70382537841797,
2020-05-18,219.645751953125,220.85296823410516,217.75284507700312,218.53511886923397,42398100,0.018632188377588843,0.018594902529231426,210.4105354309082,195.08728271484375,
2020-05-19,219.0952606201172,221.98292715903048,218.95040056654557,219.9065063931708,36237300,-0.0025062689722553655,0.016081745898336674,211.47143783569337,195.73824493408202,
2020-05-20,223.47015380859375,223.82748500684957,221.62552433768994,221.64484391872398,37417000,0.01996799554720652,0.015438809554036235,212.45749206542968,196.27355346679687,
2020-05-21,221.0364990234375,224.19458139158,220.52464042614739,223.51854312502033,43642900,-0.010890290017165905,0.015764844458189074,213.3435905456543,196.9315383911133,
2020-05-22,221.7994384765625,222.0022425612029,219.71336518681352,220.6308466216069,28762400,0.003451644667264109,0.015532262989930707,214.1075180053711,197.94979309082032,
2020-05-26,221.20065307617188,225.57561855400007,220.9592098134664,225.3727997292555,33055300,-0.002699670497379958,0.015559509273299826,214.75844955444336,198.66657196044923,
2020-05-27,222.4078369140625,222.52373968407574,216.27518777873954,220.86260910029554,55665600,0.0054574153425981375,0.014675888114960954,215.66579055786133,199.8515759277344,
2020-05-28,222.1181182861328,225.47900390804185,221.21028938712558,221.2682334042494,42784300,-0.0013026457698144256,0.01275270134315582,216.19648284912108,200.78330200195313,
2020-05-29,225.37277221679688,225.604563025848,220.9302108307325,222.49477300290803,50691800,0.014652807054989614,0.013012139508809561,216.8942527770996,201.8869012451172,
2020-06-01,226.048828125,226.42547900904276,224.0593380843368,224.50360015254122,25776000,0.002999723087901751,0.010707269784835922,217.92376785278321,202.98359100341796,
2020-06-02,227.5651397705078,227.623083803629,224.0690308280601,226.47381135829445,33383400,0.006707894299143646,0.01059807476489039,218.90934143066406,204.24475646972655,
2020-06-03,228.5887908935547,229.34209257938343,227.29465873959504,228.17350088204523,37228700,0.004498277390285743,0.010478709556370976,219.82827529907226,205.5240185546875,
2020-06-04,226.9856719970703,229.6512007001984,225.68187229406135,228.2411800932031,38716100,-0.00701311245497982,0.010762662715252107,220.60234527587892,206.5162548828125,
2020-06-05,231.48614501953125,232.07526717027412,227.5651087891723,228.1349113526619,47365600,0.019827123812991232,0.011182228013183524,221.46526489257812,207.62476959228516,
2020-06-08,233.282470703125,233.40801117207488,229.7670575785261,231.34125754502816,32937300,0.00775997061699818,0.010986324027867072,222.27120361328124,208.5837823486328,
2020-06-09,234.97256469726562,235.8224348833329,232.2394254453133,232.4229246660119,35046300,0.007244839224510136,0.010949820858277289,223.06458740234376,209.70407897949218,
2020-06-10,237.79258728027344,239.33782970222506,236.1411092576061,236.66263483803743,58084400,0.012001497224329416,0.009445283399637728,224.22834167480468,210.75058990478516,
2020-06-11,226.01019287109375,235.2526324617041,225.95224885117236,233.87158419849115,72919400,-0.04954903995931714,0.015062188070825773,224.9372200012207,211.5931301879883,
2020-06-12,227.8065185546875,232.1718014942973,223.8082192997638,230.90664134099546,72034800,0.007947985269046276,0.014986091567525957,225.61567611694335,212.6278598022461,
2020-06-15,230.57827758789062,231.25431566388,223.54745212455148,224.48425300718134,45307400,0.012167162953845567,0.015105284304975127,226.36318359375,213.64655700683593,
2020-06-16,234.53799438476562,236.02527841860515,230.91634539634447,235.4361562603609,48890100,0.017172982807826198,0.015031527373217744,227.10779571533203,214.79544128417967,
2020-06-17,235.28164672851562,237.09730494028514,234.4221092267472,236.03494859583944,34749300,0.003170711618391442,0.014967694189862374,227.91711502075196,215.7059732055664,
2020-06-18,235.9189910888672,236.16043430184797,234.1902641679954,234.96287066031454,30578600,0.00270885710472335,0.014468313499004647,228.53955688476563,216.63079681396485,
