Price,Close,High,Low,Open,Volume,Daily Return,20MA,50MA,200MA
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ,,,,
Date,,,,,,,,,
2020-01-02,208.31753540039062,208.31753540039062,206.21662000258715,206.62138028175576,30969400,,,,
2020-01-03,206.40936279296875,207.65256874525338,205.54202143036022,205.56129993102786,27518900,-0.009159923113310264,,,
2020-01-06,207.7393341064453,207.76824450960788,204.53979361320714,204.79035534234592,21655300,0.006443367178118553,,,
2020-01-07,207.71041870117188,208.29828805996976,207.05509663834903,207.8164284119449,22139300,-0.00013919080562097008,,,
2020-01-08,209.27163696289062,210.22572434939758,207.3538449960792,207.68150602390165,26397300,0.0075163213837858844,,,
2020-01-09,211.04486083984375,211.4496211160876,209.81130151076144,210.99667194156035,23547000,0.00847331202014523,,,
2020-01-10,210.5051727294922,211.8929306969113,210.12932283874846,211.87366690111043,21898500,-0.0025572198640796406,,,
2020-01-13,212.9337615966797,212.96267199725548,211.03523353119783,211.37254114483332,22756900,0.01153695577024294,,,
2020-01-14,212.09530639648438,213.18431371134992,211.7676454238443,212.82772763624223,24418100,-0.003937633909757543,,,
2020-01-15,212.18206787109375,213.17469753323425,211.48818882695045,212.21097827250065,25742100,0.00040906833858533886,,,
2020-01-16,214.2155303955078,214.25408740341612,212.78922991188824,213.24217917107654,18805000,0.009583573884525576,,,
2020-01-17,215.27560424804688,215.44906664930056,214.0613086185179,215.1792264438915,24325200,0.0049486321116953835,,,
2020-01-21,215.17922973632812,215.71891015540382,214.58172851594986,214.67809161639136,21146300,-0.0004476796711609943,,,
2020-01-22,215.74778747558594,216.98134673152907,215.47794730742254,216.2682040178913,20736400,0.0026422519494770924,,,
2020-01-23,216.44166564941406,216.53804343993446,214.6202371679939,215.6225132507356,26496100,0.0032161542973256907,,,
2020-01-24,214.62022399902344,217.68485814625592,213.62759457935266,217.45356028631102,37436500,-0.008415392872373029,,,
2020-01-27,210.18716430664062,211.32434590904438,209.30052969825945,209.7727574021594,42264400,-0.020655367932161828,,,
2020-01-28,213.41563415527344,213.907140405245,211.1123456368647,211.67130459054076,26731900,0.01535997623490859,,,
2020-01-29,213.76255798339844,214.84191880488564,212.81811726459713,214.6009889997188,28924500,0.001625578320436416,,,
2020-01-30,214.52389526367188,214.62025835852046,211.71946892175637,212.38443750851857,39568100,0.0035616025905367277,212.07893753051758,,
2020-01-31,211.1219940185547,215.4490842623696,210.3702794361041,215.42017385979722,52015800,-0.015857912895604898,212.2191604614258,,
2020-02-03,214.31190490722656,214.80339646155866,212.0086163440638,212.15316835851743,25408600,0.015109325314498046,212.61428756713866,,
2020-02-04,219.21719360351562,219.5930434793103,216.49949857454874,217.24156642862076,30691200,0.022888549744413567,213.18818054199218,,
2020-02-05,219.9399871826172,221.8963358948736,218.61969664321316,221.85779359887678,38534800,0.0032971573407185595,213.79965896606444,,
2020-02-06,221.83851623535156,221.89633703223683,219.7086904172244,220.48930058555015,22467100,0.008632032205939888,214.4280029296875,,
2020-02-07,220.88446044921875,222.07947767416863,220.24840218246206,220.84591814753176,25884900,-0.004300676917260993,214.91998291015625,,
2020-02-10,223.553955078125,223.5635869767346,220.09420650793012,220.1520273099652,21478900,0.012085479546534161,215.5724220275879,,
2020-02-11,223.59246826171875,225.52955310878127,223.00459900893256,224.78748526718863,30198000,0.0001722769055028106,216.10535736083983,,
2020-02-12,225.7705078125,225.87651751585867,224.35383936997437,224.91279828721204,24471300,0.00974111323030713,216.78911743164062,,
2020-02-13,225.4813995361328,226.4065618035363,223.92981091801053,224.1996511381023,22773200,-0.0012805404885180005,217.45408401489257,,
2020-02-14,226.1270751953125,226.3390945982549,225.07662478403583,225.83795649082847,23438500,0.002863542893152049,218.0496612548828,,
2020-02-18,226.21376037597656,226.63779909559827,224.78746035058225,225.0283901044414,24394500,0.0003833471979823866,218.5965690612793,,
2020-02-19,228.3822021484375,228.85442991285313,227.29320930772505,227.56304954305114,22230500,0.009585808435600418,219.25671768188477,,
2020-02-20,226.26197814941406,228.3532469152331,223.46719852997722,227.88103394871118,42604000,-0.00928366562314431,219.78242721557618,,
2020-02-21,221.9156494140625,225.51995021861518,221.00011901149605,225.13446837706815,66017200,-0.019209275773596546,220.0561264038086,,
2020-02-24,213.3578338623047,216.11407188909791,212.2688262525871,213.63730601341578,84522600,-0.03856337114734154,219.99300689697264,,
2020-02-25,207.5561981201172,215.8634675724852,206.94906502738402,215.15031007500946,97743000,-0.027192044637703416,219.8614585876465,,
2020-02-26,208.62596130371094,212.28809778410795,207.10328296219677,208.84762734251444,79537700,0.005154089317894739,219.62197494506836,,
2020-02-27,198.17919921875,208.56809015437068,198.04427913017778,203.24835649531946,121822600,-0.050074123180445795,218.84280700683593,,
2020-02-28,198.33343505859375,199.6537257951151,190.98025208735027,191.4332013351709,148173700,0.000778264522471428,218.03328399658204,,
2020-03-02,208.568115234375,208.71268194284923,198.4683417612655,201.30167866717323,112933900,0.05160340299031074,217.90559005737305,,
2020-03-03,201.8798828125,211.6423624780626,200.08736461072698,209.23306461036697,131953500,-0.03206737719406061,217.28398895263672,,
2020-03-04,210.3027801513672,210.40878983904875,203.70129852931274,205.58056251141224,73086200,0.04172232132059506,216.8382682800293,,
2020-03-05,203.913330078125,208.5102745108435,202.4773979653889,204.97342701822768,78705500,-0.030382147438295037,216.03693542480468,,
2020-03-06,200.4728546142578,201.56184721573746,195.54824934362233,197.24438969380077,89828400,-0.01687224401930487,214.96865234375,,
2020-03-09,186.5471649169922,193.8617913828181,185.1401281709765,186.46041899802282,116424000,-0.06946421611075926,213.25178756713868,,
