Price,Close,High,Low,Open,Volume,Daily Return,20MA,50MA,200MA
Ticker,SPY,SPY,SPY,SPY,SPY,,,,
Date,,,,,,,,,
2020-01-02,296.88812255859375,296.9064177570936,294.74967601076855,295.67269108630387,59151200,,,,
2020-01-03,294.64007568359375,295.7641429457349,293.4429112798059,293.4977411082979,77709700,-0.00757203371972659,,,
2020-01-06,295.7641296386719,295.8463743777095,292.76661707449347,292.8854243272233,55653900,0.003815007013116656,,,
2020-01-07,294.9325256347656,295.67275622250656,294.4847115081981,295.19752718117184,40496400,-0.002811713526323145,,,
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000,0.00532958815953366,,,
2020-01-09,298.514892578125,298.58801761539866,297.4822175666189,298.06710630868724,48473300,0.006780668630741227,,,
2020-01-10,297.6558837890625,299.25515249526273,297.1898301592266,299.09981058166176,53029300,-0.0028776078193073484,,,
2020-01-13,299.702880859375,299.7120005705417,297.8477308070792,298.2772496807154,47086800,0.006877058985882867,,,
2020-01-14,299.2459716796875,300.31518120708546,298.6884979136288,299.264238992548,62832800,-0.001524540499501903,,,
2020-01-15,299.9221496582031,300.68064734274424,299.07225965420616,299.15450437501033,72056600,0.0022596059513189104,,,
2020-01-16,302.41717529296875,302.41717529296875,301.0737883752738,301.3022553484258,54050300,0.008318910882737507,,,
2020-01-17,303.3583984375,303.56857016247767,302.3531383755547,303.1299315092865,95846000,0.003112333628602304,,,
2020-01-21,302.76434326171875,303.56855126120206,302.3257046358388,302.398801777143,77742400,-0.0019582618409149655,,,
2020-01-22,302.8009033203125,304.27224473675494,302.6455614379162,303.62337862619233,48914900,0.00012075417534274102,,,
2020-01-23,303.148193359375,303.5594449783584,301.03716121185505,302.15208091700214,51963000,0.0011469253732545592,,,
2020-01-24,300.4522399902344,303.88839108132504,299.1636833310754,303.80614634423307,87578400,-0.008893186329976377,,,
2020-01-27,295.6361999511719,297.1166611579254,294.8685544324489,295.2066810180619,84062500,-0.016029303157197416,,,
2020-01-28,298.7342529296875,299.6115581923156,295.7276201151106,297.06185926917453,63834000,0.010479274794586324,,,
2020-01-29,298.48748779296875,300.3243709426531,298.28643576718724,300.0959039992209,53888900,-0.0008260356296565519,,,
2020-01-30,299.4561462402344,299.66634584075405,295.67274865407313,296.4220989348696,75491800,0.003245222955333693,299.051318359375,,
2020-01-31,294.0186462402344,298.99008843943227,293.104778599044,298.83471866925794,113845600,-0.018157917505683296,298.90784454345703,,
2020-02-03,296.2027893066406,298.0670871911225,295.3803139687608,295.49912122993766,69083000,0.0074285869088099865,298.98598022460936,,
2020-02-04,300.7173156738281,301.5855011806518,299.4927362514343,299.81259553758144,62573200,0.015241336443033493,299.2336395263672,,
2020-02-05,304.1899108886719,304.40011044558366,302.188566799041,303.65073243122515,65951100,0.011547706213932418,299.6965087890625,,
2020-02-06,305.21343994140625,305.40534428374525,304.135055229123,305.1494625309535,50359700,0.0033647698891268174,300.1319610595703,,
2020-02-07,303.5868225097656,305.22262540475447,303.038496381652,304.15341594950706,64139400,-0.005329442346814428,300.3855575561523,,
2020-02-10,305.8531799316406,305.91715735245873,302.66379115886144,302.70035366918944,42070000,0.007465269418280185,300.79542236328126,,
2020-02-11,306.3833312988281,307.99171968195316,305.85327235048885,307.2058067510786,54864500,0.001733352477505612,301.1294448852539,,
2020-02-12,308.35723876953125,308.5674104828042,307.4524908196525,307.81803230663076,43992700,0.006442607247382881,301.5850082397461,,
2020-02-13,308.0281982421875,308.99689562686603,306.6573968990736,306.9315460120865,54501900,-0.0010670757354578342,301.9903106689453,,
2020-02-14,308.5216979980469,308.6405052446944,307.2422889745831,308.4394532632197,64582200,0.0016021252556603915,302.29553680419923,,
2020-02-18,307.7266845703125,308.58572245034776,306.33758779968736,307.52563255819723,57226200,-0.0025768476995073897,302.51395111083986,,
2020-02-19,309.19793701171875,309.8741900599959,308.41202432199384,308.69532102540853,48814700,0.004781036273992845,302.8356307983398,,
2020-02-20,307.9276428222656,309.4720810157457,304.9392784662439,308.64957801451567,74163400,-0.004108352732654197,303.0919677734375,,
2020-02-21,304.7566223144531,306.88592186587607,303.9341190417113,306.57521018265294,113788200,-0.010297940382191673,303.1723892211914,,
2020-02-24,294.64923095703125,304.82970245486194,293.5708458942109,295.307216805096,161088400,-0.03316545274935123,302.8822387695312,,
2020-02-25,285.7207336425781,296.6505836333486,284.8434284508616,296.0383078861717,218913200,-0.030302123258401314,302.38646545410154,,
2020-02-26,284.6697692871094,290.7104209886197,283.93868633219154,287.11892786401404,194773800,-0.0036782922333646884,301.68324127197263,,
2020-02-27,271.8847351074219,284.72456262234533,271.8847351074219,279.14996516623097,284353500,-0.044911808555241794,300.3531036376953,,
2020-02-28,270.7424011230469,272.2320096468705,260.9457401669116,263.83356488451,384975800,-0.0042015377727023795,298.91741638183595,,
2020-03-02,282.4673156738281,282.53129309523894,269.0974290501747,272.52443233830087,238703600,0.043306532342721304,298.3398498535156,,
2020-03-03,274.37957763671875,286.80818159326185,271.9395669552168,282.8419998690826,300139100,-0.028632473876901487,297.24868927001955,,
2020-03-04,285.9125671386719,286.131914298969,277.203411147517,279.7531092321764,176613400,0.04203297344973289,296.5084518432617,,
2020-03-05,276.408447265625,281.9008016738092,274.16948788672306,278.711411972993,186366800,-0.03324135055748434,295.1193786621094,,
2020-03-06,271.83892822265625,273.04523961433756,265.2316862467465,267.90016284032976,228667200,-0.016531763367483077,293.4506530761719,,
2020-03-09,250.6099090576172,259.71202207505866,249.89709348195655,251.58772614350622,309417300,-0.0780941100078607,290.80180740356445,,
2020-03-10,263.5776672363281,263.66903167185677,249.94275235063745,260.1232493248857,276444100,0.051744794240077496,288.68803176879885,,
2020-03-11,250.7286834716797,257.65581500361225,247.54844229941548,256.5226281848996,255316300,-0.04874837803738441,285.9052993774414,,
2020-03-12,226.73968505859375,243.69193139870373,226.34671474938688,233.95009968243195,392220700,-0.09567712030759956,281.82442169189454,,
2020-03-13,246.12286376953125,248.09682141327602,227.1144121941133,240.4294577708272,329566100,0.08548648511145518,278.7291549682617,291.76320678710937,
2020-03-16,219.19114685058594,234.7725780910604,216.91561153342053,220.4065784730682,297240000,-0.10942387272140675,274.2626274108887,290.2092672729492,
2020-03-17,231.02572631835938,234.1054695359692,216.65059323263955,223.93410499439116,262070500,0.053992050490253574,270.42757949829104,288.93698028564455,
2020-03-18,219.32823181152344,226.977299433706,208.380101478062,215.90122818946838,327597100,-0.050632865409614536,265.93409423828126,287.40826232910155,
2020-03-19,219.79428100585938,226.07256060162746,212.2183250976438,218.64281290463057,289322000,0.0021248937744431373,261.5274261474609,285.90549743652343,
2020-03-20,210.3224639892578,224.72697702090403,210.0466887261092,222.94364621592393,347158800,-0.04309401033209348,256.8057182312012,284.1818588256836,
2020-03-23,204.94485473632812,211.13134505091108,200.63361059089686,209.76168442600684,326025200,-0.02556840173384589,252.32049942016602,282.31045806884765,
2020-03-24,223.51353454589844,224.38682507267387,214.91863611227424,215.4885612758454,235494500,0.09060329830412117,249.21013946533202,280.8276110839844,
2020-03-25,226.8595733642578,235.64753271475618,220.3881202388159,225.09463160277366,299430300,0.014970184356653649,246.31962966918945,279.37074493408204,
2020-03-26,240.10589599609375,241.57665998414785,228.9371031237742,229.36914775984692,257632800,0.058389965366667296,244.73068771362304,278.18794342041014,
2020-03-27,232.95416259765625,239.7473562360883,230.77556488684385,232.8162819931154,224341200,-0.029785746696340376,242.8412757873535,276.84858367919924,
2020-03-30,240.51954650878906,241.23655379734308,233.05530959383546,235.050062078814,171369500,0.032475847723739903,240.74388732910157,275.61063110351563,
2020-03-31,236.93447875976562,242.06383359967347,235.52804049293425,239.5175449357564,194881100,-0.014905515169397865,238.87163238525392,274.28215270996094,
2020-04-01,226.27125549316406,236.8517325396181,224.20296243005834,227.9534688676713,189554600,-0.045004945343616654,235.88956680297852,272.75229095458985,
2020-04-02,231.4925994873047,232.27394638304975,224.83728566556516,225.38883620204277,177660400,0.023075595628620826,233.6437744140625,271.3261248779297,
2020-04-03,228.14654541015625,232.8622586960982,225.4163970895069,230.50898872250409,135561200,-0.014454259378308687,231.4591552734375,269.82609191894534,
2020-04-06,243.47024536132812,245.4374352742941,228.12811933562622,237.01718131949536,188061200,0.06716603980841929,231.10217208862304,268.6864520263672,
2020-04-07,243.718505859375,252.8189911912203,243.49789687410166,252.06520642083692,201427200,0.0010196748998154703,230.10921401977538,267.6480981445313,
2020-04-08,251.89974975585938,253.71065665190883,243.8288104236189,246.3199470598107,153774500,0.03356841478917039,230.1677673339844,266.7114080810547,
2020-04-09,255.7329864501953,258.49071084159345,253.22344715493466,255.16303317810022,189999200,0.015217310450094113,231.61743240356446,265.8563180541992,
2020-04-13,253.3981170654297,255.09871946317554,249.49134066253833,254.75860459423126,114839100,-0.009130106433181462,231.98119506835937,264.93515747070313,
2020-04-14,260.87152099609375,261.8918654699185,253.26020343605688,258.2884549436128,134143400,0.02949273663598051,234.06521377563476,264.2722149658203,
2020-04-15,255.32846069335938,261.0093649327239,253.21418896902438,255.15380261017032,121775000,-0.02124823852588098,235.28035049438478,263.45472839355466,
2020-04-16,256.5603332519531,257.4152211975013,253.49006970924398,256.60628411021946,131798300,0.004824658227478906,237.14195556640624,262.5715887451172,
2020-04-17,263.4913635253906,264.09803815159717,259.5937609848719,262.33311040568213,146684800,0.02701520607486474,239.32680969238282,261.75761779785154,
2020-04-20,258.8492431640625,263.6293107862759,258.62863415329286,259.7868595128614,100109300,-0.017617732510161743,241.75314865112304,260.8303338623047,
2020-04-21,250.9896697998047,255.58587661831038,250.05202565489662,254.3816726761035,126385700,-0.030363516880272612,244.05538940429688,259.7783908081055,
2020-04-22,256.5603332519531,258.3068866614787,254.5471919266126,255.87090205979615,92951600,0.022194791748169296,245.7077293395996,258.7925338745117,
2020-04-23,256.5418701171875,261.0093977789953,256.23853280732754,257.8380038199027,104709700,-7.196410501808526e-05,247.19184417724608,257.7957046508789,
2020-04-24,260.1177978515625,260.78885432168994,256.00878675884167,258.05870563521063,85063200,0.013938963385359049,248.19243927001952,256.8309158325195,
2020-04-27,263.8682556152344,264.98973134296574,261.6345055515394,262.09412629154366,77896600,0.014418305070428517,249.73814392089844,255.94771697998047,
2020-04-28,262.6549072265625,267.8669912848749,262.35154179491997,267.51767499536015,105270000,-0.004598311327153937,250.84491195678712,255.0303811645508,
2020-04-29,269.5308837890625,271.06602995813773,266.95701793717836,267.986564277932,118745600,0.026178747753488052,252.47473220825196,254.2664651489258,
